Thousands,Total,NoQualification,Primary,LowerSecondary,Secondary,Post_Secondary_Non_Tertiary,Polytechnic,ProfessionalQualificationAndOtherDiploma,University
Total,2948.5,368.1,203.4,236.5,544.8,304,268.1,215.7,807.9
Ang Mo Kio,145.2,23.9,13.4,13.3,24.6,13.6,11.1,10.1,35.4
Bedok,212.5,26.7,15.1,16.3,40.8,20.7,16,13.9,62.9
Bishan,68.1,6.2,3.1,4.8,11.8,6.3,5.5,5,25.4
Bukit Batok,105.2,11.8,7.7,8.5,19.2,9.9,11.2,7.2,29.7
Bukit Merah,123,22.5,10.3,11.3,22.4,9.8,7.8,7.8,31.1
Bukit Panjang,106.8,12.3,8.2,8.3,18.9,12.3,11.7,8.4,26.5
Bukit Timah,52.6,1.8,1.2,1.2,5.7,4.6,2.4,3.6,32.1
Choa Chu Kang,129.5,12.3,9.5,12,24.7,15.8,14,9.9,31.5
Clementi,67.5,10.1,4.5,5.4,11.2,5.6,5.4,4.7,20.7
Geylang,84.8,13.7,6.5,6.1,15.8,8.3,7,6.1,21.3
Hougang,164.2,22.5,11.3,15.3,32.9,15.9,15.2,10.9,40
Jurong East,64.4,9.7,4.1,5.1,12.7,7.9,5.9,3.6,15.6
Jurong West,210.7,26.4,17.6,18.7,39,24.4,20.6,16.5,47.6
Kallang,78.3,13.5,5.5,6.4,12.8,6.4,5.1,6.2,22.3
Marine Parade,33,3.3,1,2.8,5.6,3.1,1.6,2.1,13.4
Novena,34.2,4.1,2.1,1.7,4.6,2.5,2.1,2.2,14.9
Outram,16.4,3.2,0.7,1.3,2.8,1.8,0.8,1.5,4.4
Pasir Ris,101.7,8,4.4,6.5,23.1,13.2,12.4,10,24.2
Punggol,77.5,6.9,3.3,4.8,11.7,6.5,10.4,7.2,26.7
Queenstown,74.8,11,5.5,5.8,12.7,7.1,4.7,5.7,22.3
Sembawang,58.2,5,3.8,4.5,11.6,6,6.8,4.7,15.7
Sengkang,160.1,17.7,9.6,13.9,26.9,15.1,17.2,12.8,46.9
Serangoon,98.6,10.6,5,6.3,17.9,10.7,8.9,6.5,32.8
Tampines,206.2,24.1,12.8,16.7,44.5,21.9,22,13.9,50.2
Tanglin,13.1,0.2,0.2,0,1,1.4,0.4,0.5,9.5
Toa Payoh,98.3,15,8.4,7.7,18.1,9,7.6,6.9,25.6
Woodlands,177.6,19.6,13.9,16.9,37,23.8,18.1,14,34.4
Yishun,156.9,23,13.4,13.8,30.5,18.4,14.6,12.2,31
Others,29,3,1.1,1.2,4.6,2.1,1.7,1.7,13.7
