Number,Total_Total,Total_Males,Total_Females,Chinese_Total,Chinese_Males,Chinese_Females,Malays_Total,Malays_Males,Malays_Females,Indians_Total,Indians_Males,Indians_Females,Others_Total,Others_Males,Others_Females
Total,3902690,1916630,1986060,2900010,1415300,1484700,520920,259110,261820,354950,182300,172650,126810,59910,66900
Ang Mo Kio- Total,174770,84220,90550,143290,68860,74430,13060,6430,6640,14150,7050,7100,4270,1890,2390
Ang Mo Kio Town Centre,5020,2370,2640,4260,2020,2240,210,90,120,360,170,190,190,100,90
Cheng San,29770,14400,15370,24660,11890,12770,2140,1080,1060,2380,1210,1170,600,230,370
Chong Boon,27900,13590,14310,22910,11150,11760,1950,950,1010,2400,1230,1170,630,260,370
Kebun Bahru,23910,11450,12460,19210,9160,10060,2200,1090,1110,1910,940,960,590,270,330
Sembawang Hills,6890,3240,3650,6080,2850,3230,100,50,50,500,230,270,220,110,110
Shangri-La,18510,9090,9410,13900,6810,7090,2410,1200,1210,1790,920,880,410,170,240
Tagore,8350,3990,4360,7440,3540,3900,70,40,40,560,270,290,270,140,140
Townsville,23770,11300,12470,19630,9320,10310,1660,800,860,1900,930,970,580,250,330
Yio Chu Kang,30,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Yio Chu Kang East,4080,2020,2060,3620,1790,1830,50,30,30,300,140,160,120,60,50
Yio Chu Kang North,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Yio Chu Kang West,26550,12750,13800,21540,10330,11220,2270,1110,1160,2060,1000,1060,670,310,370
Bedok- Total,289750,141220,148530,208880,101010,107870,43980,21640,22340,25110,12880,12230,11780,5690,6090
Bayshore,7480,3580,3900,5240,2450,2790,130,50,80,1360,670,680,750,410,340
Bedok North,85930,41990,43940,59870,29010,30860,17030,8510,8520,6430,3310,3120,2600,1150,1450
Bedok Reservoir,25400,12420,12980,18900,9240,9660,3700,1810,1900,2020,1020,1000,770,350,420
Bedok South,51190,25010,26180,39110,18950,20160,5890,2900,2990,3780,1960,1820,2410,1200,1210
Frankel,33570,15920,17650,27430,12840,14590,1160,520,640,2670,1360,1310,2310,1200,1110
Kaki Bukit,40820,20220,20600,26180,12900,13280,9740,4840,4910,3780,1980,1800,1120,510,610
Kembangan,38440,18870,19570,27170,13350,13820,6220,2970,3250,3650,1900,1750,1400,650,750
Siglap,6930,3210,3720,4980,2270,2710,110,40,70,1420,680,730,430,220,210
Bishan- Total,90700,44110,46590,77220,37480,39740,3760,1790,1970,7000,3530,3470,2720,1320,1400
Bishan East,28820,13760,15060,24020,11440,12580,1460,690,770,2560,1280,1280,790,360,430
Marymount,31540,15650,15880,27090,13440,13660,1270,600,670,2300,1190,1110,880,430,450
Upper Thomson,30340,14700,15640,26100,12600,13500,1040,500,540,2140,1060,1080,1060,530,520
Boon Lay- Total,30,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Liu Fang,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
SaMulun,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Shipyard,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tukang,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Bukit Batok- Total,139270,68650,70610,102080,50040,52040,19570,9690,9880,13730,7050,6670,3900,1870,2030
BrickWorks,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Bukit Batok Central,26060,12780,13280,19820,9700,10110,3240,1580,1660,2410,1220,1190,590,270,320
Bukit Batok East,14570,7280,7290,9330,4580,4750,3120,1590,1530,1810,970,840,320,150,170
Bukit Batok South,13940,6860,7080,10460,5120,5340,1570,760,810,1550,800,750,370,190,180
Bukit Batok West,15190,7460,7730,10750,5270,5480,2430,1200,1230,1710,860,850,300,130,170
Gombak,9820,4840,4980,8350,4110,4240,630,310,320,630,320,310,220,100,120
Guilin,13130,6390,6740,9310,4500,4800,1920,920,1000,1470,750,720,430,220,220
Hillview,18220,8790,9430,15750,7580,8170,340,150,190,1150,550,590,980,510,470
Hong Kah North,28340,14260,14080,18320,9190,9140,6330,3180,3140,2990,1570,1420,690,310,380
Bukit Merah- Total,155840,75450,80390,122610,58870,63740,13400,6730,6670,15120,7720,7400,4710,2130,2570
Alexandra Hill,15650,7720,7930,11330,5570,5770,2300,1170,1130,1700,860,840,320,120,190
Alexandra North,1000,450,550,750,340,410,10,na,10,140,60,80,110,50,50
Bukit Ho Swee,16290,7980,8310,13050,6310,6740,1500,780,730,1340,700,640,400,190,210
Bukit Merah,1190,570,610,1010,490,530,20,10,10,130,70,60,20,10,10
City Terminals,40,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Depot Road,5200,2480,2720,4310,2050,2270,160,70,80,490,240,250,240,120,120
Everton Park,9010,4270,4750,6910,3230,3680,670,330,340,1020,510,510,420,200,220
Henderson Hill,12870,6370,6500,9160,4520,4640,2010,1010,1000,1370,710,660,330,130,200
Kampong Tiong Bahru,10460,5210,5240,8060,4000,4060,1050,530,520,1150,610,540,210,80,130
Maritime Square,2560,1210,1340,1800,840,960,40,20,20,260,120,140,460,230,230
Redhill,12210,5890,6320,9870,4730,5140,1010,500,510,1010,520,490,330,150,180
Singapore General Hospital,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Telok Blangah Drive,16000,7650,8350,12540,5930,6610,1350,670,680,1730,900,840,380,150,230
Telok Blangah Rise,13820,6640,7180,11180,5330,5850,760,380,380,1590,800,790,290,130,160
Telok Blangah Way,10690,5350,5340,8050,4000,4050,1350,720,640,1070,560,510,220,80,140
Tiong Bahru,12190,5700,6490,10800,5050,5750,230,90,140,770,370,390,400,190,210
Tiong Bahru Station,16670,7930,8740,13780,6500,7280,960,460,500,1360,690,670,570,280,300
Bukit Panjang- Total,139030,69160,69870,103280,51200,52080,22230,11210,11020,10300,5260,5040,3210,1480,1730
Bangkit,23800,11900,11900,17760,8860,8910,4150,2080,2070,1500,790,710,380,170,210
Dairy Farm,5390,2620,2770,4660,2260,2410,80,40,40,350,180,170,290,150,150
Fajar,26770,13390,13380,18690,9290,9400,5450,2780,2670,2080,1080,1010,550,240,310
Jelebu,33470,16660,16810,25900,12860,13040,4480,2240,2240,2370,1220,1150,720,350,380
Nature Reserve,3870,1820,2050,3190,1480,1710,80,30,50,270,130,140,330,180,160
Saujana,25530,12710,12820,18280,9100,9180,4550,2300,2250,2200,1090,1100,500,220,280
Senja,20200,10060,10140,14800,7360,7440,3430,1740,1700,1530,780,760,430,190,250
Bukit Timah- Total,74470,34660,39810,64150,29740,34410,760,310,460,3650,1760,1900,5910,2860,3050
Anak Bukit,21990,10530,11460,20090,9600,10490,220,100,120,840,410,440,830,420,410
Coronation Road,6170,2840,3330,5380,2500,2880,30,10,20,290,130,160,480,210,280
Farrer Court,4680,2190,2490,3980,1860,2130,150,70,80,230,120,110,320,150,170
Hillcrest,8810,3950,4870,7330,3270,4060,60,20,50,550,250,300,880,410,470
Holland Road,10280,4550,5730,8780,3850,4930,80,30,50,440,190,250,980,480,500
Leedon Park,6260,2880,3380,4850,2170,2670,80,30,50,400,200,200,940,480,460
Swiss Club,5550,2580,2970,4650,2150,2500,70,30,40,300,160,140,530,250,280
Ulu Pandan,10730,5140,5590,9100,4340,4760,70,20,50,600,300,300,960,480,480
Central Water Catchment- Total,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Central Water Catchment,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Changi- Total,2530,1300,1230,1200,580,620,720,390,330,470,250,220,140,80,60
Changi Airport,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Changi Point,790,420,370,430,220,210,210,110,110,80,40,30,80,50,30
Changi West,1740,880,860,770,360,410,510,280,220,400,210,190,60,30,30
Changi Bay- Total,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Changi Bay,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Choa Chu Kang- Total,174330,86990,87340,123450,61380,62070,29630,14930,14690,16470,8370,8100,4790,2310,2480
Choa Chu Kang Central,21400,10600,10800,16070,7950,8130,2970,1470,1500,1770,900,870,600,290,310
Choa Chu Kang North,34380,17000,17380,24610,12170,12440,5510,2720,2790,3270,1630,1640,990,480,510
Keat Hong,15660,7860,7800,11090,5520,5580,2470,1280,1190,1730,880,850,370,190,190
Peng Siang,32130,16150,15980,21850,10920,10920,6000,3070,2930,3410,1740,1670,870,420,450
Teck Whye,27040,13590,13450,17420,8790,8630,6350,3200,3150,2750,1390,1360,520,210,310
Yew Tee,43710,21790,21930,32400,16040,16370,6330,3200,3120,3540,1830,1720,1440,720,720
Clementi- Total,91630,43870,47760,70700,33530,37170,9950,4930,5010,7600,3820,3780,3390,1590,1800
Clementi Central,13490,6470,7020,10480,4980,5500,1580,780,800,970,500,480,450,210,240
Clementi North,28730,13470,15260,22400,10380,12010,3330,1630,1700,2110,1050,1060,890,400,490
Clementi West,16470,8070,8400,11310,5450,5860,2690,1370,1330,1980,1020,960,480,230,250
Clementi Woods,16400,7890,8510,12220,5840,6370,2040,1010,1040,1550,770,780,600,280,320
Faber,4320,2100,2220,3750,1830,1920,40,20,20,310,150,160,230,100,130
Pandan,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Sunset Way,6290,2920,3370,5220,2400,2820,220,100,120,390,190,200,460,230,230
Toh Tuck,40,na,na,na,na,na,na,na,na,na,na,na,na,na,na
West Coast,5890,2930,2960,5290,2630,2660,40,20,20,300,150,150,260,130,130
Downtown Core- Total,3720,1860,1860,2970,1440,1530,40,10,20,320,180,140,390,230,160
Anson,80,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Bayfront Subzone,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Bugis,2330,1110,1220,2100,1000,1100,20,10,10,160,80,90,40,30,20
Cecil,160,90,70,90,50,40,10,na,10,20,10,10,40,30,10
Central Subzone,480,230,250,300,140,160,10,10,na,40,20,20,120,60,60
City Hall,60,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Clifford Pier,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Marina Centre,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Maxwell,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Phillip,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Raffles Place,60,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tanjong Pagar,520,290,240,320,160,170,na,na,na,70,50,20,130,80,50
Geylang- Total,116960,58090,58870,88060,43550,44510,15280,7550,7730,9900,5220,4690,3730,1780,1950
Aljunied,41710,20780,20930,34510,17130,17380,3030,1510,1510,2680,1410,1270,1490,720,770
Geylang East,33380,16310,17070,23950,11690,12260,5140,2460,2680,3070,1570,1500,1220,590,630
Kallang Way,40,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Kampong Ubi,13210,6660,6550,8800,4400,4400,2860,1450,1410,1180,640,550,370,180,190
Macpherson,28630,14320,14320,20770,10310,10460,4250,2120,2130,2960,1580,1380,650,300,350
Hougang- Total,222310,109560,112750,181700,89240,92460,17650,8810,8840,18040,9310,8720,4930,2200,2720
Defu Industrial Park,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Hougang Central,4830,2430,2400,4180,2110,2060,250,130,120,330,160,180,70,40,40
Hougang East,21940,10770,11170,17910,8840,9080,1850,900,950,1780,880,900,390,150,240
Hougang West,50120,24780,25340,40270,19880,20390,4790,2380,2410,4120,2120,2000,940,400,540
Kangkar,26080,12890,13200,21600,10670,10930,1830,900,930,2100,1080,1020,570,240,320
Kovan,25640,12470,13170,22950,11130,11820,590,280,310,1490,760,740,610,300,300
Lorong Ah Soo,34180,16320,17870,28370,13450,14930,2600,1300,1300,2590,1280,1300,630,280,340
Lorong Halus,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Tai Seng,14700,7130,7580,11980,5770,6210,1260,610,650,1190,630,560,280,120,160
Trafalgar,44800,22770,22030,34420,17380,17040,4480,2300,2180,4450,2410,2030,1450,670,780
Jurong East- Total,84980,42270,42710,60130,29770,30360,13740,6800,6940,9150,4800,4350,1970,910,1060
International Business Park,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jurong Gateway,20,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jurong Port,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jurong River,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Lakeside,1010,500,500,860,430,440,20,10,10,80,40,40,40,20,20
Penjuru Crescent,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Teban Gardens,19080,9570,9510,11810,5920,5900,4800,2360,2440,2130,1150,970,350,150,200
Toh Guan,16510,8240,8270,12480,6210,6270,1930,950,980,1640,860,780,460,220,240
Yuhua East,27460,13510,13960,20160,9830,10330,3740,1870,1860,3000,1550,1450,570,260,310
Yuhua West,20870,10420,10450,14770,7360,7410,3260,1610,1650,2300,1200,1100,540,250,290
Jurong West- Total,272660,137560,135110,190240,95510,94740,48630,24480,24150,27090,14420,12670,6710,3160,3550
Boon Lay Place,31100,15950,15160,19900,10230,9670,7420,3770,3640,2990,1590,1400,800,360,440
Chin Bee,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Hong Kah,56870,28380,28490,38920,19240,19680,10610,5330,5290,6000,3190,2810,1330,620,700
Jurong West Central,68200,34280,33920,51820,25940,25880,8530,4280,4260,5590,2960,2630,2260,1100,1160
Kian Teck,50,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Safti,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Taman Jurong,36940,18510,18430,25860,12910,12950,6320,3150,3160,3860,2020,1840,900,420,480
Wenya,8610,4400,4210,5820,2930,2890,1440,750,690,1100,590,510,260,130,130
Yunnan,70890,36010,34880,47880,24210,23660,14310,7200,7110,7540,4070,3470,1160,520,640
Kallang- Total,101210,50410,50800,75800,37400,38390,7980,4040,3940,14460,7570,6890,2970,1390,1580
Bendemeer,33830,16550,17280,27280,13190,14090,1560,800,760,4390,2300,2090,600,270,330
Boon Keng,10970,5340,5630,8680,4220,4460,1250,620,630,810,400,410,240,100,130
Crawford,9740,5380,4360,6590,3630,2960,1720,900,820,1140,720,420,290,130,160
Geylang Bahru,12870,6440,6430,9560,4770,4800,1590,790,800,1500,810,690,210,80,140
Kallang Bahru,30,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Kampong Bugis,890,450,440,730,370,360,40,10,20,90,50,40,40,20,20
Kampong Java,11260,5540,5720,8770,4290,4480,380,180,200,1680,890,800,430,190,240
Lavender,10320,5400,4920,7240,3740,3500,960,500,450,1780,990,790,350,180,170
