Number,Total_Total,Total_Males,Total_Females,NoQualification_Total,NoQualification_Males,NoQualification_Females,Primary_Total,Primary_Males,Primary_Females,LowerSecondary_Total,LowerSecondary_Males,LowerSecondary_Females,Secondary_Total,Secondary_Males,Secondary_Females,Post_Secondary_Non_Tertiary_Total,Post_Secondary_Non_Tertiary_Males,Post_Secondary_Non_Tertiary_Females,PolytechnicDiploma_Total,PolytechnicDiploma_Males,PolytechnicDiploma_Females,ProfessionalQualificationandOtherDiploma_Total,ProfessionalQualificationandOtherDiploma_Males,ProfessionalQualificationandOtherDiploma_Females,University_Total,University_Males,University_Females
Total,2208358,1178431,1029927,102706,54084,48622,83056,47848,35208,148185,86740,61445,327638,168087,159551,257474,156195,101279,256389,157713,98676,172248,72974,99275,860663,434792,425871
Ang Mo Kio,48180,24906,23274,3151,1457,1694,1999,884,1116,3523,1852,1672,6137,2860,3276,5247,2805,2442,5323,3366,1957,3143,1240,1903,19656,10443,9213
Bedok,59875,31334,28541,4538,2306,2231,3407,1843,1565,4862,2638,2224,10367,5144,5223,7519,4611,2908,6480,3890,2590,4729,1758,2971,17973,9143,8830
Bishan,28932,15721,13211,1436,784,651,1432,795,638,2436,1380,1056,5243,2420,2823,4114,2505,1609,3110,2028,1082,2086,969,1118,9074,4840,4234
Boon Lay,19300,12300,7000,944,625,319,782,502,280,1793,1077,716,3168,2062,1106,2614,1799,815,2491,1699,792,1689,795,893,5820,3741,2079
Bukit Batok,33792,18302,15490,2150,984,1166,1505,826,680,2787,1586,1201,5437,2532,2905,4197,2374,1822,4391,3088,1304,2194,1002,1193,11130,5910,5219
Bukit Merah,103575,49481,54094,3988,1947,2041,3266,1731,1535,5365,2801,2564,14302,6557,7745,10827,5930,4897,12585,6236,6349,7313,2511,4802,45929,21768,24161
Bukit Panjang,9091,2902,6189,842,288,553,608,132,476,776,292,484,1686,527,1159,1074,360,714,742,294,449,768,235,533,2595,774,1820
Bukit Timah,21362,9838,11524,1121,531,590,824,360,464,1548,786,762,2765,1325,1441,2569,1503,1066,2367,1355,1013,1626,573,1053,8541,3405,5136
Changi,63747,40922,22825,1599,979,620,1685,1067,618,3942,2433,1509,12258,6863,5394,10955,7658,3297,11986,8556,3430,4928,3108,1820,16396,10259,6137
Choa Chu Kang,13144,5105,8039,1275,449,826,840,388,451,1120,399,721,2336,835,1501,1655,633,1022,1554,993,560,1075,310,764,3290,1098,2193
Clementi,38836,22497,16339,2368,1285,1083,1851,1089,762,3316,1934,1382,7199,4022,3177,5174,3470,1703,4482,3133,1349,3265,1409,1856,11182,6155,5027
Downtown Core,284004,127054,156951,3855,1496,2359,3301,1671,1630,7239,3484,3755,24778,8521,16257,18833,7472,11361,21873,9247,12626,23677,7918,15759,180448,87245,93203
Geylang,116481,63842,52639,6278,3383,2895,4797,2753,2044,8703,4896,3807,19060,9696,9365,14473,8298,6175,14611,9351,5260,10563,4637,5926,37995,20828,17166
Hougang,43772,20771,23001,3713,1887,1826,2469,1238,1231,3851,1932,1919,7857,3635,4222,4590,2487,2104,4834,2654,2180,3463,1217,2246,12995,5720,7275
Jurong East,62478,32217,30261,3051,1759,1292,2781,1510,1271,4518,2615,1904,9364,4793,4571,7645,4166,3479,6555,3448,3107,5536,2237,3299,23028,11690,11338
Jurong West,45571,24256,21316,3540,1836,1704,2712,1361,1351,4123,1993,2130,7299,3729,3570,7245,4545,2700,5392,3569,1823,3019,1194,1825,12240,6027,6213
Kallang,63333,31673,31660,3386,1739,1647,2354,1398,956,3762,2090,1672,8503,3722,4781,6920,3578,3342,7808,4106,3702,4944,2111,2833,25656,12929,12727
Marine Parade,12786,5743,7043,927,427,501,807,343,464,1199,578,621,2446,1098,1349,1386,687,698,1221,646,575,1100,424,676,3700,1540,2160
Museum,12672,5016,7655,299,61,238,294,193,100,623,274,349,1166,346,820,1092,517,575,1224,456,768,1108,380,728,6867,2788,4078
Newton,13644,6230,7414,388,205,183,302,209,93,284,211,73,1330,451,879,1365,697,669,2003,983,1019,1275,336,939,6698,3138,3560
Novena,42829,16272,26557,1254,495,759,987,660,328,2103,891,1212,5306,1788,3518,4529,1899,2630,5082,2253,2829,3120,793,2327,20448,7495,12953
Orchard,44871,16442,28429,1854,641,1214,1905,650,1255,3281,1201,2080,8241,2696,5545,4712,1744,2968,4397,1755,2642,4485,1445,3040,15995,6311,9684
Outram,38402,17163,21239,1606,702,904,1385,751,634,2384,1257,1127,5486,1995,3491,3569,1772,1797,3672,1715,1957,3249,1246,2003,17052,7725,9327
Pasir Ris,23751,13471,10280,1277,613,664,1085,438,647,1673,832,841,3988,2039,1949,4149,3076,1073,2878,1873,1006,1907,953,954,6794,3648,3147
Paya Lebar,13433,10258,3175,471,380,91,411,271,141,612,347,265,1667,1128,539,1952,1619,333,3474,3044,430,859,564,295,3986,2906,1080
Pioneer,36801,25498,11304,1502,1076,426,1525,1139,386,2987,2154,833,6610,4135,2475,5238,4093,1145,5054,3950,1104,3084,1789,1295,10801,7162,3639
Punggol,9537,2694,6842,594,189,405,483,211,272,1173,376,797,1469,468,1000,1281,404,876,911,205,706,826,144,682,2799,696,2103
Queenstown,131782,66017,65765,3281,1645,1636,2290,1302,987,4087,2194,1893,11393,5414,5979,10772,6075,4697,13132,7184,5948,8070,2841,5229,78756,39362,39394
Rochor,31654,14673,16981,1707,635,1072,1327,714,613,2916,1359,1557,5846,2383,3464,3098,1544,1554,2817,1575,1242,3013,1309,1704,10929,5154,5775
Seletar,5329,4135,1194,67,50,17,68,56,13,275,212,63,519,403,117,884,825,59,1169,1049,119,508,406,103,1838,1134,703
Sembawang,40152,22500,17653,3421,1877,1544,2613,1445,1168,4566,2489,2078,7703,3926,3778,4959,3034,1925,5196,3537,1659,3404,1500,1905,8290,4693,3597
Sengkang,17566,6154,11412,1224,297,927,972,419,553,1160,512,649,2766,1078,1688,2509,1114,1395,1932,671,1261,1432,431,1001,5571,1632,3938
Serangoon,38451,20142,18309,2575,1074,1501,1651,812,839,3468,1675,1794,5761,2300,3461,4100,2404,1695,4772,3256,1516,2976,1190,1785,13149,7432,5718
Singapore River,18341,8673,9669,583,192,391,426,225,201,1153,583,570,2941,1251,1690,2062,906,1156,1593,930,664,1623,634,989,7960,3951,4009
Southern Islands,8009,4506,3503,323,172,151,178,132,46,563,341,222,1544,977,567,1466,946,519,1115,562,553,1151,617,534,1669,759,911
