subzone_n,pln_area_n,beach_area,business_2,educational_institution,utility,special_use,waterbody,port_/_airport,park,road,business_1_-_white,commercial,light_rapid_transit,transport_facilities,health_&_medical_care,commercial_/_institution,business_1,residential,sports_&_recreation,commercial_&_residential,mass_rapid_transit,civic_&_community_institution,open_space,residential_with_commercial_at_1st_storey,cemetery,reserve_site,white,place_of_worship,business_2_-_white,hotel,residential_/_institution,business_park_-_white,business_park,agriculture,pri_classification
ANG MO KIO TOWN CENTRE,ANG MO KIO,0,0,0,0,0,0,0,0,67130.3415330426,0,19300.0259769495,0,0,3278.55901162222,0,0,112242.141594877,0,108153.878903839,0,0,0,0,0,3618.37833927386,0,3158.69181852109,0,0,0,0,0,0,RESIDENTIAL
CHENG SAN,ANG MO KIO,0,0,69354.0016379213,5449.97532760823,0,0,0,0,170907.509588292,0,0,0,0,0,0,0,569165.622619388,0,38897.2277699069,6817.23516165291,5714.7546572762,13301.0327648551,6443.5589602745,0,66989.01788861,0,2670.2523318163,0,0,0,0,0,0,RESIDENTIAL
CHONG BOON,ANG MO KIO,0,0,99001.7203278444,2889.88378066268,0,0,0,46794.1719311171,194385.792764965,0,0,0,0,5293.07207962984,0,161289.417721724,476925.53126691,0,58836.6695054179,0,4015.84468829091,16540.3027806332,8944.0587933102,0,0,0,3705.86312826296,0,0,0,0,0,0,RESIDENTIAL
KEBUN BAHRU,ANG MO KIO,0,0,81815.7239477917,5675.10635014473,0,0,0,214378.840299455,165340.166040642,0,0,0,0,0,0,0,498727.140402462,0,54329.5215830149,0,4003.9770869957,9292.74954150506,10528.6297378245,0,0,0,2325.13768569841,0,0,0,0,0,0,RESIDENTIAL
SEMBAWANG HILLS,ANG MO KIO,0,0,0,7547.35006004923,0,0,0,24545.9499285977,237085.056520056,0,2524.96146911992,0,7278.11698601724,0,0,0,540791.63282169,0,0,0,0,0,13475.1877482829,0,61267.7439034383,0,0,0,0,0,0,0,0,RESIDENTIAL
SHANGRI-LA,ANG MO KIO,0,0,61073.0239779579,1650.95916276835,0,0,0,10896.6790501949,146838.30148197,0,0,0,2903.61831814548,2694.64135900212,0,0,412257.126235025,0,17409.7105662675,0,4770.67858561394,17263.4779346257,5778.49985366296,0,0,0,4376.94768790677,0,0,0,0,0,0,RESIDENTIAL
TAGORE,ANG MO KIO,0,0,0,26002.0440773505,0,19959.3211760682,0,107690.115134578,607566.318482634,0,0,0,0,2489.94354271963,0,248687.689221863,1769208.68907609,0,0,0,0,1396.41438743487,20088.8751726433,0,527938.880712175,0,3164.14532980753,0,0,0,0,0,0,RESIDENTIAL
TOWNSVILLE,ANG MO KIO,0,0,14547.436812116,0,0,0,0,10901.6611882242,99435.0174994229,0,0,0,3977.25310923587,0,0,0,352996.404409061,12774.879960323,31067.2764189077,0,0,3553.20603820504,6582.39267309982,0,5734.01456944179,0,4824.27866921855,0,0,0,0,0,0,RESIDENTIAL
YIO CHU KANG,ANG MO KIO,0,172048.082090654,66936.3265635651,0,14.178355871785,26570.7893167053,0,332.335009375207,158875.652942175,0,0,0,46185.03160841,71508.2701482041,0,187970.461569454,33112.2740109112,96439.5427344238,0,7778.84277276755,18165.9899251116,0,0,0,21392.3833163821,0,2088.40729586162,0,0,0,0,0,0,BUSINESS 1
YIO CHU KANG EAST,ANG MO KIO,0,36.7456780922181,411436.835985553,1783.81018792148,541574.283600404,5582.63342363663,0,24748.304805693,178582.063274588,0,0,0,0,0,0,0,689361.68674643,6.09551006217296e-06,0,0,5.10405110047774e-14,0,8762.88414652008,0,2.78926165594947,0,0,0,0,0,0,0,0,RESIDENTIAL
YIO CHU KANG NORTH,ANG MO KIO,0,0,0,2452.40024276423,0,35736.3095806554,0,0,236693.062055245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189627.15696052,0,0,0,0,0,0,0,0,RESERVE SITE
YIO CHU KANG WEST,ANG MO KIO,0,0,65666.1690207314,370.018645517257,0,4212.81570589205,0,21429.8712795034,163062.456796484,0,0,0,1729.10329020748,19993.3019145424,0,0,510748.270099968,0,34417.6544505696,0,4054.33050445762,11708.8094153021,6800.39595798107,0,0,0,1944.00025465234,0,0,0,0,0,0,RESIDENTIAL
BAYSHORE,BEDOK,140887.828291019,0,40875.4001999586,3340.88372094555,192288.180999509,36773.2114148978,0,496462.194267491,502830.319561412,0,0,0,0,5460.67005346198,0,0,643945.926397844,412807.73172468,59117.7715981126,0,0,7288.56804250214,0,0,0,0,8383.02031423943,0,0,0,0,0,0,RESIDENTIAL
BEDOK NORTH,BEDOK,0,0,168123.898366044,26429.8698732163,0,41384.1073197997,0,65676.9076787899,627569.822019212,0,16678.8037246001,0,5232.6553537023,0,0,0,1814325.4242284,55559.4376563483,272304.033893547,0,21736.6376331994,19641.0813734172,48499.7189128309,0,6831.81069855306,0,13669.2672888005,0,0,0,0,0,0,RESIDENTIAL
BEDOK RESERVOIR,BEDOK,0,0,50685.6107985614,5140.79375137985,0,937769.414202717,0,606764.479629321,205827.30098508,0,0,0,0,0,0,0,495760.34605557,20000.0555508621,33121.821846887,0,0,12698.1525993717,9048.77813894465,0,2514.75669266849,0,0,0,0,0,0,0,0,WATERBODY
BEDOK SOUTH,BEDOK,0,0,160206.551398481,20568.3378458178,0,47190.0323856865,0,74153.6173742776,590050.235729867,0,0,0,2909.45986317417,8076.71975154356,0,0,1939886.32110704,0,59099.8179629848,0,3760.42327684408,47008.4443210064,5997.36101838192,0,18109.3832453588,0,20290.6401436947,0,0,0,0,0,0,RESIDENTIAL
