Data Series,2025 ,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 ,1960 ,1959 ,1958 ,1957 
Total Residents,4204515,4180868,4149253,4073239,3986842,4044210,4026209,3994283,3965796,3933559,3902690,3870739,3844751,3818205,3789251,3771721,3733876,3642659,3583082,3525894,3467814,3413266,3366891,3382944,3325902,3273363,3229681,3180018,3123403,3068132,3013515,2959350,2904547,2849754,2794704,2735868,2647627,2598458,2553864,2518598,2482615,2443705,2406165,2365707,2324403,2282125,2383500,2353600,2325300,2293300,2262600,2229800,2193000,2152400,2112900,2013563,2042500,2012000,1977600,1934400,1886900,1841600,1795000,1750200,1702400,1646400,1587200,1518800,1445929
  0 - 4 Years,165550,170496,175268,178085,178435,183076,185355,185528,187653,187160,183575,181369,183295,186673,188249,194432,197788,193889,193626,194479,199529,204819,209903,217798,222991,225705,232614,240072,243259,245148,248089,247022,248771,245751,235519,224049,216686,204867,200069,202257,203346,199148,197758,191964,189138,185840,198000,204200,215100,221300,228000,227800,227200,226000,228200,230165,257900,272800,283100,289600,293500,299900,303000,306100,303700,297000,288800,277800,264727
  5 - 9 Years,199813,202082,201974,201360,198760,198737,197775,199066,200575,201509,204452,205790,205704,206324,208119,215675,221435,223622,229541,235204,237237,240517,247044,253192,254077,256574,256149,257440,253311,242270,230583,223824,210359,204724,205807,205628,202071,201533,196552,194844,192039,193390,197474,206599,211665,216630,225400,225200,224500,227300,234300,247000,260000,269500,276700,273997,295100,297900,300300,297600,291100,284000,276000,266700,258900,250300,241000,229600,218097
  10 - 14 Years,206577,204391,204459,202379,199993,206393,207926,206530,206253,207495,214388,220796,226244,233320,240536,244302,248628,253796,255292,256482,258553,257283,259124,257692,246972,235352,228191,214443,208388,209322,209583,207032,206698,202170,201155,198476,197204,201049,209844,214518,219364,220588,219605,218444,221174,228146,246300,259500,269700,277900,283600,289700,290500,292600,292200,283627,282000,273900,265100,257300,248500,240200,232000,223900,217400,200300,175700,157100,136280
  15 - 19 Years,211394,211067,209579,206749,204913,215234,222222,226520,232973,239771,242902,247337,255066,258861,260738,263750,262775,262856,257298,246547,234921,227417,214074,209687,210903,211286,208600,208282,203429,202379,199898,200002,204085,213331,218157,223305,221948,220242,218541,220938,227897,238082,250371,259173,266011,270536,293900,295900,296900,296200,292800,285000,278000,268300,256000,240682,238700,229800,222500,215200,198600,175800,159000,140000,124900,124700,131500,134300,135679
  20 - 24 Years,218686,224644,229066,233303,237720,244537,249079,255516,259072,260854,264127,263918,266889,264506,255069,247190,241753,225385,218485,219631,218951,215217,215412,216313,214636,212236,213031,217260,226764,231764,237425,239253,237867,234805,234658,238987,239559,251275,259416,266601,271686,276698,278286,278979,278080,272178,289000,281400,272000,260100,249600,241900,233400,225800,220100,193974,174500,158000,138800,123200,123800,130500,135200,139400,142500,139500,133100,124900,119266
  25 - 29 Years,263735,269536,277889,280082,278037,286997,288194,291631,290198,279988,271030,265659,255615,254582,262606,272639,274308,263114,254523,251659,247799,246713,250878,262720,262754,267161,270217,268517,264769,263481,267010,273264,281789,286490,289839,290940,285964,287140,288082,288791,285241,278708,270327,259250,245845,232795,244900,236700,229000,223800,207100,183400,166800,148200,132400,124587,129000,134200,138400,140000,137900,132000,125000,122100,119600,116200,115100,114700,111726
  30 - 34 Years,319836,320486,323627,317153,301060,297798,293446,281397,279340,285544,290619,292287,296870,295396,297555,298687,297240,289817,294453,293251,293414,290489,287304,289184,286690,290290,296867,304104,306773,309094,308824,309334,307731,306029,304022,298323,285529,278032,268321,256412,244604,234721,225225,216756,210778,194250,187100,169400,151200,133800,134100,141100,143200,142600,140300,130130,130900,123600,120300,117400,114700,113100,114600,113000,112300,106600,102100,95100,89925
  35 - 39 Years,320125,314575,300037,290981,289221,299515,300818,303720,300956,301998,301067,302029,305503,313970,316161,320024,317311,307243,301973,298203,299153,302908,310643,320753,322878,322621,322289,319208,315944,313266,307434,300133,291778,281688,269191,255993,241269,231251,222456,216640,200017,176996,160051,142046,124791,124696,142100,143000,142300,139000,134000,127500,119300,118000,115700,109044,111600,112100,111300,109200,104000,100200,93800,90600,86200,86400,85200,84300,82709
  40 - 44 Years,311772,310259,310173,299871,292770,299291,300763,303640,311484,313445,316755,316023,312581,308823,306614,309441,312983,317363,321049,323017,321472,321057,318282,320863,317996,312420,305241,296755,286259,273686,260994,250783,240317,231002,224210,206063,179267,162500,144305,126838,126919,133379,134040,133404,129785,124089,125200,117100,114700,113200,110200,107600,107400,106300,104800,97975,96900,91900,87700,85000,84400,82700,83000,82400,83100,80500,79100,77500,76217
  45 - 49 Years,302015,301224,302515,304317,300125,311740,311682,307838,303457,301183,303413,308533,316336,320925,323991,323459,322497,318078,315552,312858,307546,300671,292791,286738,274569,262201,252282,241863,232426,225769,208085,183764,166332,147384,129004,128439,133292,133377,132431,128081,121343,116130,109166,106924,105940,102962,104300,103800,102400,100500,97000,92400,88700,85100,83400,79565,80800,80300,79800,80200,77200,77100,75900,75500,74300,74400,72400,69300,66716
  50 - 54 Years,308978,307332,302367,292984,285962,296068,301682,308965,312814,315598,315091,315503,312988,310376,308130,303044,297383,289189,279220,266994,254168,244110,233180,230367,223842,206657,182738,165341,146576,128497,128066,133810,133399,131902,126490,118092,112410,106280,104197,104026,101945,98518,97296,95678,93659,90174,88700,84500,81100,78300,76900,75800,75200,73500,72700,69675,73400,73000,71800,70600,70700,68500,67100,65700,62600,59600,57300,54200,51794
