Data Series,2025 ,2024 ,2023 ,2022 ,2021 ,2020 ,2019 
Central Region,975290,965640,955830,930700,903890,922570,922960
  0 - 4 Years,36400,36600,36560,35810,35220,35640,36180
  5 - 9 Years,43870,43970,43610,43240,42550,42740,42650
  10 - 14 Years,44990,44170,44060,42870,42150,43440,43630
  15 - 19 Years,44180,43840,43130,41820,40680,42380,43350
  20 - 24 Years,43190,43360,43560,43920,44190,45770,47020
  25 - 29 Years,52440,53260,55050,56030,55120,57770,58490
  30 - 34 Years,70990,70970,71580,68430,62970,61460,59880
  35 - 39 Years,74370,71760,66860,63070,61620,63980,64950
  40 - 44 Years,72170,71470,71820,69280,67650,70190,71430
  45 - 49 Years,72750,72710,72920,72840,71520,74770,74970
  50 - 54 Years,74460,73480,71950,68540,65200,67150,67840
  55 - 59 Years,65460,65320,66140,65300,64540,67450,68760
  60 - 64 Years,65220,65900,66030,65190,64420,66700,66370
  65 - 69 Years,63460,62770,62250,60120,57770,57910,57780
  70 - 74 Years,54130,53830,53180,52100,51400,49610,44920
  75 - 79 Years,44680,40230,36920,32940,28950,29900,31790
  80 - 84 Years,24640,26100,26140,26200,25450,23940,22580
  85 - 89 Years,17320,15980,14630,13890,13750,13420,12600
  90 Years & Over,10590,9930,9440,9100,8750,8370,7790
East Region,710680,708530,702770,691430,676410,685890,685990
  0 - 4 Years,28300,28630,28720,28530,27560,27350,27370
  5 - 9 Years,32340,32120,31450,30760,29880,29660,29630
  10 - 14 Years,32330,31840,31960,31920,31650,32650,33380
  15 - 19 Years,33870,34120,34060,34160,34460,36850,38780
  20 - 24 Years,36970,38690,40210,41870,43580,46180,48450
  25 - 29 Years,46690,49080,51510,52640,52850,54200,53770
  30 - 34 Years,56510,56480,55930,53680,49600,47540,45740
  35 - 39 Years,52150,50310,47060,45050,43740,44900,45560
  40 - 44 Years,48270,48080,47890,46190,45130,46350,46840
  45 - 49 Years,46950,46840,47160,47620,46990,49150,49930
  50 - 54 Years,48480,48840,48730,48720,48900,51930,54180
  55 - 59 Years,50170,52170,54370,55050,55360,57440,58050
  60 - 64 Years,55250,55740,55390,54670,53540,53520,52400
  65 - 69 Years,51070,49890,48310,45940,43470,42200,40370
  70 - 74 Years,39410,37610,35730,33990,32450,30150,26430
  75 - 79 Years,27000,23720,21090,18080,15370,15090,15570
  80 - 84 Years,12520,12900,12550,12260,11630,10930,10370
  85 - 89 Years,7810,7310,6700,6460,6430,6180,5840
  90 Years & Over,4600,4190,3980,3840,3840,3610,3340
North Region,599410,597680,596300,585900,575730,582330,573940
  0 - 4 Years,25540,26640,28090,29050,29120,29560,29300
  5 - 9 Years,29900,30220,30500,30430,29980,29980,29890
  10 - 14 Years,30450,30440,30820,30810,30490,31970,32220
  15 - 19 Years,32690,32900,33030,32790,32910,34920,36330
  20 - 24 Years,35800,37470,38400,39230,40040,40720,40350
  25 - 29 Years,43830,44180,45060,44450,44250,45360,45050
  30 - 34 Years,47950,48350,49060,48330,46990,46230,44690
  35 - 39 Years,46460,45840,44390,43210,43200,44400,44190
  40 - 44 Years,43840,43700,43910,42710,41940,42950,42650
  45 - 49 Years,42200,42220,42830,43370,43430,45350,45250
  50 - 54 Years,44430,44770,44680,43650,43010,44440,45080
  55 - 59 Years,43430,44340,45370,45060,44540,44920,43920
  60 - 64 Years,43430,42710,41570,39890,38240,37450,35700
  65 - 69 Years,35690,34070,32460,30400,28240,26880,25150
  70 - 74 Years,24790,23360,21750,20170,18940,17460,15130
  75 - 79 Years,15500,13380,11940,10380,8860,8880,9050
  80 - 84 Years,7070,7220,7150,6960,6600,6040,5630
  85 - 89 Years,4150,3860,3480,3290,3320,3240,2880
